,Run,Window Size,Number of Obstacles,Momentum Enabled,Tagger Average Speed,Taggee Average Speed,Tagger Distance Covered,Taggee Distance Covered,Tagger Avg Left/Avg Right,Taggee Avg Left/Avg Right,Run Length,End State,Winner
0,1702247389,640,10,False,2.4590163,2.2131147,144.45592,123.64545,0.29/0.25,0.34/0.25,61,TAGGER_HIT_OBS,TAGGEE
1,1702247393,640,10,False,2.46212124824524,2.215909004211426,151.3314208984375,137.127685546875,0.28/0.24,0.24/0.29,66,TAGGEE_HIT_OBS,TAGGER
2,1702247394,640,10,False,2.470588207244873,2.22352933883667,165.42236328125,179.59918212890625,0.17/0.31,0.28/0.20,85,TAGGER_OOB,TAGGEE
3,1702247398,640,10,False,2.480769157409668,2.232692241668701,297.2911376953125,248.6687927246093,0.29/0.27,0.20/0.27,130,TAGGEE_OOB,TAGGER
4,1702247401,640,10,False,2.4675323963165283,2.2207791805267334,182.69058227539065,161.3194122314453,0.26/0.23,0.24/0.27,77,TAGGER_HIT_OBS,TAGGEE
5,1702247405,640,10,False,2.4800000190734863,2.2320001125335693,288.248779296875,241.18527221679688,0.30/0.24,0.23/0.30,125,TAGGEE_OOB,TAGGER
6,1702247410,640,10,False,2.4683544635772705,2.221518993377685,178.613037109375,167.0299072265625,0.23/0.28,0.26/0.27,79,TAGGEE_OOB,TAGGER
7,1702247412,640,10,False,2.461538553237915,2.215384721755981,148.20301818847656,130.4026336669922,0.30/0.23,0.24/0.32,65,TAGGER_HIT_OBS,TAGGEE
8,1702247415,640,10,False,2.4642856121063232,2.2178571224212646,165.643798828125,149.90200805664062,0.26/0.25,0.23/0.22,70,TAGGER_OOB,TAGGEE
9,1702247418,640,10,False,2.462686538696289,2.216418027877808,156.99781799316406,144.8223419189453,0.25/0.22,0.23/0.26,67,TAGGEE_OOB,TAGGER
10,1702247422,640,10,False,2.4657533168792725,2.2191781997680664,171.32569885253906,156.42222595214844,0.29/0.23,0.29/0.25,73,TAGGEE_OOB,TAGGER
11,1702247428,640,10,False,2.470238208770752,2.2232143878936768,187.3595428466797,170.1549072265625,0.21/0.26,0.30/0.23,84,TAGGER_OOB,TAGGEE
12,1702247431,640,10,False,2.4768519401550293,2.2291667461395264,255.53797912597656,234.7683563232422,0.23/0.27,0.25/0.24,108,TAGGEE_OOB,TAGGER
13,1702247434,640,10,False,2.4691357612609863,2.222222328186035,178.3820037841797,174.7958221435547,0.29/0.20,0.24/0.27,81,TAGGEE_OOB,TAGGER
14,1702247437,640,10,False,2.4761905670166016,2.2285714149475098,229.03843688964844,200.3346099853516,0.23/0.32,0.18/0.29,105,TAGGER_OOB,TAGGEE
15,1702247441,640,10,False,2.465277671813965,2.21875,170.44039916992188,155.2008056640625,0.26/0.19,0.21/0.22,72,TAGGEE_OOB,TAGGER
16,1702247444,640,10,False,2.487684726715088,2.2389161586761475,463.162353515625,400.21527099609375,0.27/0.23,0.20/0.27,203,TAGGER_OOB,TAGGEE
17,1702247450,640,10,False,2.465277671813965,2.21875,166.87399291992188,152.93850708007812,0.30/0.20,0.18/0.28,72,TAGGER_OOB,TAGGEE
18,1702247452,640,10,False,2.475247621536255,2.227722883224488,239.9420318603516,216.45086669921875,0.20/0.24,0.23/0.25,101,TAGGER_OOB,TAGGEE
19,1702247457,640,10,False,2.4728260040283203,2.22554349899292,211.84146118164065,192.4800720214844,0.20/0.26,0.27/0.24,92,TAGGER_OOB,TAGGEE
20,1702247459,640,10,False,2.491166114807129,2.2420494556427,429.4597778320313,370.3498840332031,0.28/0.23,0.28/0.22,283,TAGGER_HIT_OBS,TAGGEE
21,1702247466,640,10,False,2.4590163230896,2.2131147384643555,121.45811462402344,127.2761459350586,0.38/0.18,0.25/0.27,61,TAGGER_OOB,TAGGEE
22,1702247472,640,10,False,2.4780702590942383,2.2302632331848145,264.0980834960937,224.2586212158203,0.27/0.23,0.29/0.26,114,TAGGER_OOB,TAGGEE
23,1702247475,640,10,False,2.4666666984558105,2.220000028610229,168.69296264648438,161.64617919921875,0.28/0.21,0.25/0.21,75,TAGGER_HIT_OBS,TAGGEE
24,1702247479,640,10,False,2.459677457809448,2.213709592819214,148.98851013183594,128.70742797851562,0.24/0.28,0.28/0.23,62,TAGGEE_HIT_OBS,TAGGER
25,1702247480,640,10,False,2.48633885383606,2.2377049922943115,432.9566955566406,345.014404296875,0.24/0.25,0.19/0.25,183,TAGGEE_OOB,TAGGER
26,1702247485,640,10,False,2.4778761863708496,2.230088472366333,270.4927062988281,240.0571746826172,0.27/0.25,0.28/0.24,113,TAGGEE_OOB,TAGGER
27,1702247489,640,10,False,2.479674816131592,2.2317073345184326,268.54156494140625,265.7771911621094,0.27/0.24,0.24/0.25,123,TAGGEE_OOB,TAGGER
28,1702247493,640,10,False,2.46212124824524,2.215909004211426,151.10528564453125,142.4641876220703,0.30/0.20,0.24/0.24,66,TAGGER_HIT_OBS,TAGGEE
29,1702247496,640,10,False,2.4728260040283203,2.22554349899292,216.255615234375,199.6702117919922,0.24/0.28,0.26/0.24,92,TAGGEE_OOB,TAGGER
30,1702247498,640,10,False,2.4590163230896,2.2131147384643555,143.17298889160156,130.6874542236328,0.27/0.23,0.19/0.24,61,TAGGER_OOB,TAGGEE
31,1702247507,640,10,False,2.487244844436645,2.238520383834839,352.1290588378906,394.911865234375,0.30/0.20,0.25/0.23,196,TAGGER_OOB,TAGGEE
32,1702247513,640,10,False,2.477272748947144,2.22954535484314,260.5511169433594,222.33425903320312,0.27/0.26,0.23/0.30,110,TAGGER_HIT_OBS,TAGGEE
33,1702247518,640,10,False,2.4647886753082275,2.2183098793029785,169.47833251953125,152.01605224609375,0.26/0.25,0.26/0.27,71,TAGGER_OOB,TAGGEE
34,1702247520,640,10,False,2.475961446762085,2.228365421295166,241.547119140625,224.70016479492188,0.25/0.24,0.24/0.28,104,TAGGER_OOB,TAGGEE
35,1702247523,640,10,False,2.471264362335205,2.224138021469116,207.20343017578125,185.4943389892578,0.27/0.28,0.30/0.24,87,TAGGER_OOB,TAGGEE
36,1702247526,640,10,False,2.4778761863708496,2.230088472366333,263.86737060546875,223.91119384765625,0.25/0.25,0.23/0.27,113,TAGGER_OOB,TAGGEE
37,1702247529,640,10,False,2.479674816131592,2.2317073345184326,294.7622985839844,257.9593200683594,0.23/0.27,0.28/0.22,123,TAGGER_OOB,TAGGEE
38,1702247536,640,10,False,2.4809160232543945,2.2328243255615234,317.09283447265625,282.59600830078125,0.25/0.25,0.24/0.26,131,TAGGEE_OOB,TAGGER
39,1702247543,640,10,False,2.469512224197388,2.22256088256836,195.8013153076172,177.243896484375,0.25/0.24,0.25/0.22,82,TAGGER_OOB,TAGGEE
40,1702247546,640,10,False,2.480158805847168,2.232142925262451,306.4541015625,268.7963562011719,0.22/0.21,0.25/0.27,126,TAGGEE_OOB,TAGGER
41,1702247549,640,10,False,2.4691357612609863,2.222222328186035,172.83840942382812,167.13418579101562,0.21/0.29,0.20/0.31,81,TAGGEE_OOB,TAGGER
42,1702247554,640,10,False,2.4739582538604736,2.2265625,205.2723693847656,206.5927734375,0.29/0.24,0.22/0.30,96,TAGGER_OOB,TAGGEE
43,1702247557,640,10,False,2.46212124824524,2.215909004211426,146.41986083984375,132.37208557128906,0.33/0.21,0.16/0.30,66,TAGGER_OOB,TAGGEE
44,1702247560,640,10,False,2.4642856121063232,2.2178571224212646,166.66639709472656,151.36248779296875,0.20/0.27,0.29/0.25,70,TAGGER_OOB,TAGGEE
45,1702247562,640,10,False,2.472527503967285,2.2252748012542725,217.2824859619141,197.73741149902344,0.23/0.20,0.26/0.22,91,TAGGER_HIT_OBS,TAGGEE
46,1702247564,640,10,False,2.4671051502227783,2.2203948497772217,177.61270141601562,156.39547729492188,0.27/0.23,0.24/0.22,76,TAGGEE_HIT_OBS,TAGGER
47,1702247568,640,10,False,2.466216325759888,2.2195944786071777,175.93128967285156,157.573974609375,0.26/0.25,0.24/0.28,74,TAGGEE_OOB,TAGGER
48,1702247577,640,10,False,2.484939813613892,2.236445665359497,381.5431823730469,303.8378295898437,0.25/0.25,0.22/0.29,166,TAGGER_OOB,TAGGEE
49,1702247582,640,10,False,2.4852070808410645,2.2366864681243896,389.5811767578125,345.8121032714844,0.26/0.27,0.25/0.27,169,TAGGEE_OOB,TAGGER
50,1702247587,640,10,False,2.48427677154541,2.235849142074585,368.5690307617188,264.5491638183594,0.23/0.25,0.30/0.23,159,TAGGEE_OOB,TAGGER
51,1702247591,640,10,False,2.4647886753082275,2.2183098793029785,165.34024047851562,143.12567138671875,0.32/0.21,0.20/0.29,71,TAGGER_OOB,TAGGEE
52,1702247596,640,10,False,2.4768519401550293,2.2291667461395264,260.7428283691406,220.9884796142578,0.27/0.27,0.29/0.24,108,TAGGER_HIT_OBS,TAGGEE
53,1702247600,640,10,False,2.46794867515564,2.221153736114502,182.55616760253903,166.18016052246094,0.28/0.23,0.28/0.26,78,TAGGEE_OOB,TAGGER
54,1702247603,640,10,False,2.4642856121063232,2.2178571224212646,144.0034942626953,148.40863037109375,0.32/0.21,0.27/0.29,70,TAGGER_OOB,TAGGEE
55,1702247606,640,10,False,2.482269525527954,2.2340426445007324,315.6494140625,288.7969665527344,0.25/0.27,0.26/0.23,141,TAGGEE_OOB,TAGGER
56,1702247611,640,10,False,2.46212124824524,2.215909004211426,158.07054138183594,139.38771057128906,0.24/0.23,0.27/0.25,66,TAGGER_OOB,TAGGEE
57,1702247613,640,10,False,2.4882075786590576,2.239386796951294,340.4032897949219,416.5646057128906,0.28/0.22,0.21/0.26,212,TAGGEE_OOB,TAGGER
58,1702247620,640,10,False,2.462686538696289,2.216418027877808,149.31915283203125,138.33615112304688,0.22/0.34,0.18/0.30,67,TAGGER_OOB,TAGGEE
59,1702247623,640,10,False,2.471909999847412,2.2247190475463867,204.03233337402344,189.2293395996093,0.28/0.22,0.26/0.22,89,TAGGER_OOB,TAGGEE
60,1702247628,640,10,False,2.471590995788574,2.2244317531585693,210.12713623046875,188.2540283203125,0.23/0.25,0.28/0.21,88,TAGGER_OOB,TAGGEE
61,1702247631,640,10,False,2.47863245010376,2.230769157409668,217.5509490966797,251.93215942382807,0.21/0.31,0.24/0.26,117,TAGGEE_OOB,TAGGER
62,1702247634,640,10,False,2.475490093231201,2.2279412746429443,196.7571258544922,185.87081909179688,0.21/0.29,0.29/0.17,102,TAGGEE_OOB,TAGGER
63,1702247638,640,10,False,2.466216325759888,2.2195944786071777,174.98590087890625,159.74795532226562,0.26/0.23,0.29/0.20,74,TAGGEE_OOB,TAGGER
64,1702247643,640,10,False,2.476635456085205,2.2289719581604004,257.3735046386719,226.93923950195312,0.23/0.26,0.25/0.24,107,TAGGER_OOB,TAGGEE
65,1702247646,640,10,False,2.4728260040283203,2.22554349899292,218.1503448486328,183.01324462890625,0.22/0.26,0.22/0.32,92,TAGGER_OOB,TAGGEE
66,1702247648,640,10,False,2.480769157409668,2.232692241668701,313.2762451171875,280.885498046875,0.24/0.27,0.25/0.25,130,TAGGEE_HIT_OBS,TAGGER
67,1702247653,640,10,False,2.4609375,2.21484375,140.7183380126953,135.4759979248047,0.31/0.19,0.23/0.27,64,TAGGEE_HIT_OBS,TAGGER
68,1702247660,640,10,False,2.4671051502227783,2.2203948497772217,175.0852813720703,161.60569763183594,0.29/0.23,0.29/0.20,76,TAGGER_HIT_OBS,TAGGEE
69,1702247668,640,10,False,2.4761905670166016,2.2285714149475098,251.94024658203125,222.79502868652344,0.25/0.26,0.25/0.23,105,TAGGER_OOB,TAGGEE
70,1702247670,640,10,False,2.488584518432617,2.2397260665893555,526.6385498046875,445.1252136230469,0.21/0.23,0.28/0.23,219,TAGGEE_HIT_OBS,TAGGER
71,1702247676,640,10,False,2.473118305206299,2.225806474685669,220.2601013183593,163.69586181640625,0.24/0.25,0.20/0.30,93,TAGGEE_HIT_OBS,TAGGER
72,1702247680,640,10,False,2.4835526943206787,2.2351973056793213,346.2147521972656,248.54910278320312,0.26/0.23,0.30/0.20,152,TAGGER_HIT_OBS,TAGGEE
73,1702247687,640,10,False,2.4583332538604736,2.212500095367432,142.53353881835938,128.10581970214844,0.24/0.20,0.23/0.25,60,TAGGEE_HIT_OBS,TAGGER
74,1702247689,640,10,False,2.471590995788574,2.2244317531585693,209.78306579589844,185.6104736328125,0.24/0.22,0.27/0.19,88,TAGGER_OOB,TAGGEE
75,1702247691,640,10,False,2.4768519401550293,2.2291667461395264,249.2534942626953,224.5704040527344,0.28/0.24,0.27/0.20,108,TAGGER_HIT_OBS,TAGGEE
76,1702247696,640,10,False,2.471909999847412,2.2247190475463867,203.7408142089844,187.90005493164065,0.25/0.24,0.25/0.27,89,TAGGER_HIT_OBS,TAGGEE
77,1702247698,640,10,False,2.4675323963165283,2.2207791805267334,164.4617919921875,156.71075439453125,0.27/0.21,0.21/0.28,77,TAGGEE_OOB,TAGGER
78,1702247700,640,10,False,2.48251748085022,2.2342658042907715,313.985107421875,225.8458251953125,0.25/0.23,0.21/0.29,143,TAGGER_OOB,TAGGEE
79,1702247706,640,10,False,2.4791667461395264,2.231250047683716,276.67852783203125,254.6764678955078,0.23/0.26,0.25/0.25,120,TAGGER_HIT_OBS,TAGGEE
80,1702247710,640,10,False,2.4671051502227783,2.2203948497772217,175.29208374023438,164.9803009033203,0.28/0.24,0.22/0.25,76,TAGGEE_HIT_OBS,TAGGER
81,1702247713,640,10,False,2.470930337905884,2.22383713722229,204.01901245117188,173.454833984375,0.24/0.24,0.23/0.25,86,TAGGEE_OOB,TAGGER
82,1702247715,640,10,False,2.469879627227783,2.222891569137573,194.4937438964844,180.740234375,0.28/0.25,0.26/0.27,83,TAGGED,TAGGER
83,1702247717,640,10,False,2.480158805847168,2.232142925262451,255.54345703125,264.328369140625,0.30/0.20,0.28/0.23,126,TAGGER_OOB,TAGGEE
84,1702247723,640,10,False,2.472527503967285,2.2252748012542725,211.47373962402344,194.65646362304688,0.26/0.28,0.23/0.26,91,TAGGEE_OOB,TAGGER
85,1702247727,640,10,False,2.466216325759888,2.2195944786071777,176.9725341796875,157.79806518554688,0.26/0.24,0.23/0.21,74,TAGGER_OOB,TAGGEE
86,1702247730,640,10,False,2.475961446762085,2.228365421295166,249.0446929931641,220.88821411132807,0.24/0.24,0.23/0.26,104,TAGGEE_HIT_OBS,TAGGER
87,1702247733,640,10,False,2.463235378265381,2.216911792755127,157.15318298339844,144.64793395996094,0.30/0.21,0.27/0.26,68,TAGGEE_OOB,TAGGER
88,1702247734,640,10,False,2.46212124824524,2.215909004211426,154.31214904785156,136.60760498046875,0.25/0.28,0.24/0.29,66,TAGGER_OOB,TAGGEE
89,1702247737,640,10,False,2.4728260040283203,2.22554349899292,218.1906890869141,193.22576904296875,0.23/0.25,0.27/0.26,92,TAGGER_HIT_OBS,TAGGEE
90,1702247739,640,10,False,2.475728273391724,2.228155374526977,247.2337188720703,185.43267822265625,0.24/0.25,0.23/0.29,103,TAGGER_OOB,TAGGEE
91,1702247741,640,10,False,2.469512224197388,2.22256088256836,192.2965545654297,175.56138610839844,0.29/0.20,0.21/0.28,82,TAGGEE_OOB,TAGGER
92,1702247745,640,10,False,2.4675323963165283,2.2207791805267334,174.12921142578125,137.8222198486328,0.22/0.26,0.17/0.31,77,TAGGER_HIT_OBS,TAGGEE
93,1702247747,640,10,False,2.4814815521240234,2.2333333492279053,309.64093017578125,293.5693664550781,0.22/0.29,0.25/0.23,135,TAGGEE_OOB,TAGGER
94,1702247750,640,10,False,2.4609375,2.21484375,150.48512268066406,131.97023010253906,0.27/0.25,0.28/0.21,64,TAGGER_OOB,TAGGEE
95,1702247753,640,10,False,2.485380172729492,2.236842155456543,410.8986206054688,345.96807861328125,0.22/0.26,0.26/0.25,171,TAGGER_HIT_OBS,TAGGEE
96,1702247759,640,10,False,2.4798386096954346,2.2318549156188965,297.8338317871094,221.7836761474609,0.23/0.24,0.22/0.27,124,TAGGEE_OOB,TAGGER
97,1702247762,640,10,False,2.46794867515564,2.221153736114502,184.18955993652344,168.23460388183594,0.21/0.24,0.23/0.26,78,TAGGER_OOB,TAGGEE
98,1702247764,640,10,False,2.480158805847168,2.232142925262451,289.0633544921875,269.1260681152344,0.29/0.27,0.27/0.21,126,TAGGER_OOB,TAGGEE
99,1702247771,640,10,False,2.470238208770752,2.2232143878936768,199.20574951171875,169.24853515625,0.28/0.21,0.33/0.21,84,TAGGER_OOB,TAGGEE
100,1702247773,640,10,False,2.474226713180542,2.22680401802063,222.674545288086,206.72238159179688,0.22/0.24,0.24/0.23,97,TAGGER_HIT_OBS,TAGGEE
101,1702247777,640,10,False,2.46794867515564,2.221153736114502,185.4793395996093,165.0176239013672,0.22/0.22,0.22/0.26,78,TAGGER_OOB,TAGGEE
102,1702247779,640,10,False,2.4778761863708496,2.230088472366333,263.6990051269531,208.34539794921875,0.25/0.28,0.26/0.22,113,TAGGER_HIT_OBS,TAGGEE
103,1702247781,640,10,False,2.4583332538604736,2.212500095367432,143.2772674560547,128.58543395996094,0.24/0.26,0.22/0.25,60,TAGGEE_HIT_OBS,TAGGER
104,1702247783,640,10,False,2.470588207244873,2.22352933883667,201.4298248291016,171.2235565185547,0.28/0.22,0.34/0.21,85,TAGGER_HIT_OBS,TAGGEE
105,1702247785,640,10,False,2.4881515502929688,2.2393364906311035,503.2595825195313,372.4884643554688,0.24/0.26,0.27/0.23,211,TAGGER_OOB,TAGGEE
106,1702247791,640,10,False,2.46212124824524,2.215909004211426,155.78436279296875,138.0246124267578,0.21/0.21,0.30/0.19,66,TAGGEE_HIT_OBS,TAGGER
107,1702247793,640,10,False,2.480158805847168,2.232142925262451,283.61883544921875,250.06109619140625,0.21/0.28,0.23/0.26,126,TAGGEE_OOB,TAGGER
108,1702247798,640,10,False,2.4666666984558105,2.220000028610229,179.45382690429688,161.57711791992188,0.25/0.24,0.21/0.24,75,TAGGER_OOB,TAGGEE
109,1702247800,640,10,False,2.4813432693481445,2.2332088947296143,306.5137634277344,280.8633117675781,0.21/0.27,0.24/0.23,134,TAGGER_OOB,TAGGEE
110,1702247803,640,10,False,2.4770641326904297,2.2293577194213867,250.5377197265625,235.9935302734375,0.28/0.23,0.29/0.25,109,TAGGER_OOB,TAGGEE
111,1702247806,640,10,False,2.475247621536255,2.227722883224488,233.8374938964844,219.43087768554688,0.24/0.24,0.25/0.24,101,TAGGER_OOB,TAGGEE
112,1702247809,640,10,False,2.470930337905884,2.22383713722229,201.49136352539065,148.74005126953125,0.19/0.29,0.34/0.21,86,TAGGER_OOB,TAGGEE
113,1702247812,640,10,False,2.4666666984558105,2.220000028610229,176.89097595214844,148.70150756835938,0.25/0.22,0.22/0.28,75,TAGGER_HIT_OBS,TAGGEE
114,1702247814,640,10,False,2.4764151573181152,2.228773593902588,253.3792724609375,227.46792602539065,0.24/0.29,0.27/0.22,106,TAGGEE_OOB,TAGGER
115,1702247817,640,10,False,2.4764151573181152,2.228773593902588,245.6434326171875,197.03826904296875,0.28/0.30,0.21/0.32,106,TAGGEE_OOB,TAGGER
116,1702247821,640,10,False,2.46794867515564,2.221153736114502,167.1970977783203,165.61058044433594,0.18/0.28,0.22/0.27,78,TAGGEE_HIT_OBS,TAGGER
117,1702247823,640,10,False,2.46212124824524,2.215909004211426,153.6220703125,131.91262817382812,0.29/0.25,0.34/0.19,66,TAGGER_OOB,TAGGEE
118,1702247828,640,10,False,2.477477550506592,2.229729652404785,249.28073120117188,240.7694702148437,0.25/0.30,0.27/0.24,111,TAGGER_HIT_OBS,TAGGEE
119,1702247833,640,10,False,2.465277671813965,2.21875,164.08111572265625,154.4197998046875,0.18/0.29,0.28/0.24,72,TAGGEE_OOB,TAGGER
120,1702247835,640,10,False,2.4691357612609863,2.222222328186035,185.3225250244141,154.37384033203125,0.28/0.23,0.20/0.28,81,TAGGEE_HIT_OBS,TAGGER
121,1702247840,640,10,False,2.473684310913086,2.22631573677063,224.381591796875,205.44000244140625,0.26/0.25,0.26/0.24,95,TAGGER_HIT_OBS,TAGGEE
122,1702247842,640,10,False,2.460317373275757,2.2142856121063232,145.8476104736328,132.87623596191406,0.24/0.31,0.24/0.29,63,TAGGEE_OOB,TAGGER
123,1702247844,640,10,False,2.4778761863708496,2.230088472366333,267.90826416015625,222.8672637939453,0.27/0.29,0.24/0.21,113,TAGGER_OOB,TAGGEE
